k,t,l,y,e,x_ref,x,u,z,suffering
0,0.0,0.0,-1,-0.35,1.0,1,1,0.0,0.0
1,1.0,0.3178,20,-0.0322,1.0,1,1,0.0,0.0
2,2.0,0.309,20,-0.041,1.0,1,1,0.0,0.0
3,3.0,0.3093,20,-0.0407,1.0,1,1,0.0,0.0
4,4.0,0.3107,20,-0.0393,1.0,1,1,0.0,0.0
5,5.0,0.3125,20,-0.0375,1.0,1,1,0.0,0.0
6,6.0,0.3137,20,-0.0363,1.0,1,1,0.0,0.0
7,7.0,0.3092,20,-0.0408,1.0,1,1,0.0,0.0
8,8.0,0.314,20,-0.036,1.0,1,1,0.0,0.0
9,9.0,0.3103,20,-0.0397,1.0,1,1,0.0,0.0
10,10.0,0.3121,20,-0.0379,1.0,1,1,0.0,0.0
11,11.0,0.3311,20,-0.0189,1.0,1,1,0.0,0.0
12,12.0,0.3311,20,-0.0189,1.0,1,1,0.0,0.0
13,13.0,0.6826,20,0.3326,1.95,1,2,0.33,0.33
14,14.0,0.4942,20,0.1442,2.82,2,3,0.29,0.29
15,15.0,1.0263,20,0.6763,8.8,3,6,2.03,2.03
16,16.0,1.0263,20,0.6763,10.0,6,9,4.06,4.06
17,17.0,1.683,20,1.333,10.0,9,10,12.0,12.0
18,18.0,0.6637,20,0.3137,10.0,10,10,3.14,3.14
19,19.0,0.6637,20,0.3137,10.0,10,10,3.14,3.14
20,20.0,0.6637,20,0.3137,10.0,10,10,3.14,3.14
21,21.0,2.4854,20,2.1354,10.0,10,10,21.35,21.35
22,22.0,0.3669,20,0.0169,10.0,10,10,0.17,0.17
23,23.0,0.3061,20,-0.0439,8.75,10,9,0.0,0.0
24,24.0,0.3952,20,0.0452,10.0,9,10,0.41,0.41
25,25.0,0.3921,20,0.0421,10.0,10,10,0.42,0.42
26,26.0,0.5456,20,0.1956,10.0,10,10,1.96,1.96
27,27.0,0.3084,20,-0.0416,8.81,10,10,0.0,0.0
28,28.0,0.3072,20,-0.0428,8.78,10,10,0.0,0.0
29,29.0,0.3181,20,-0.0319,9.09,10,9,0.0,0.0
30,30.0,0.3843,20,0.0343,9.88,9,10,0.31,0.31
31,31.0,0.3843,20,0.0343,10.0,10,10,0.34,0.34
32,32.0,1.1815,20,0.8315,10.0,10,10,8.32,8.32
33,33.0,0.333,20,-0.017,9.51,10,10,0.0,0.0
34,34.0,0.3129,20,-0.0371,8.94,10,10,0.0,0.0
35,35.0,0.3729,20,0.0229,10.0,10,10,0.23,0.23
36,36.0,0.3178,20,-0.0322,9.08,10,9,0.0,0.0
37,37.0,0.3118,20,-0.0382,8.02,9,8,0.0,0.0
38,38.01,0.3243,20,-0.0257,7.41,8,7,0.0,0.0
39,39.01,0.3253,20,-0.0247,6.51,7,6,0.0,0.0
40,40.01,0.412,20,0.062,7.06,6,7,0.37,0.37
41,41.01,0.3287,20,-0.0213,6.57,7,7,0.0,0.0
42,42.01,0.5768,20,0.2268,10.0,7,10,1.59,1.59
43,43.01,0.3107,20,-0.0393,8.88,10,10,0.0,0.0
44,44.01,0.3107,20,-0.0393,8.88,10,10,0.0,0.0
